Ad Group ID,Ad Group,Status,Keyword,Match Type
184013077570,Office Party,ENABLED,corporate food catering,BROAD
184013077570,Office Party,ENABLED,office catering service,EXACT
184013077570,Office Party,ENABLED,office catering companies,BROAD
184013077570,Office Party,ENABLED,corporate lunch catering,PHRASE
184013077570,Office Party,ENABLED,corporate catering near me,EXACT
184013077570,Office Party,ENABLED,best office lunch catering,EXACT
184013077570,Office Party,ENABLED,corporate catering service,BROAD
184013077570,Office Party,ENABLED,office catering near me,BROAD
184013077570,Office Party,ENABLED,team lunch catering,EXACT
184013077570,Office Party,ENABLED,office event catering,EXACT
184013077570,Office Party,ENABLED,office party food,EXACT
184013077570,Office Party,ENABLED,corporate lunch delivery,BROAD
184013077570,Office Party,ENABLED,office catering chennai,PHRASE
184013077570,Office Party,ENABLED,affordable office catering,EXACT
184013077570,Office Party,ENABLED,corporate catering services near me,EXACT
184013077570,Office Party,ENABLED,office lunch catering near me,EXACT
184013077570,Office Party,ENABLED,office food platters,EXACT
184013077570,Office Party,ENABLED,office party food delivery,EXACT
184013077570,Office Party,ENABLED,corporate party food,EXACT
184013077570,Office Party,ENABLED,Office Party,EXACT
184013077570,Office Party,ENABLED,corporate bulk food order,EXACT
184013077570,Office Party,ENABLED,corporate catering chennai,EXACT
184013077570,Office Party,ENABLED,office party food catering,EXACT
184013077570,Office Party,ENABLED,small office party catering,EXACT
184013077570,Office Party,ENABLED,corporate lunch catering near me,BROAD
184013077570,Office Party,ENABLED,team event catering,PHRASE
184013077570,Office Party,ENABLED,workplace catering companies,BROAD
184013077570,Office Party,ENABLED,snacks for office event,EXACT
184013077570,Office Party,ENABLED,office get together food,EXACT
184013077570,Office Party,ENABLED,where to order home cooked food for office party,BROAD
184013077570,Office Party,ENABLED,order homemade food for office party,EXACT
184013077570,Office Party,ENABLED,homemade food suppliers for office events,EXACT
184013077570,Office Party,ENABLED,bulk food order for office,EXACT
184013077570,Office Party,ENABLED,home kitchen catering for companies,EXACT
184013077570,Office Party,ENABLED,homemade lunch for office,EXACT
184013077570,Office Party,ENABLED,office event meal delivery,EXACT
184013077570,Office Party,ENABLED,food for team celebration,EXACT
184013077570,Office Party,ENABLED,office party lunch menu,EXACT
184013077570,Office Party,ENABLED,authentic south indian food for office events,EXACT
184013077570,Office Party,ENABLED,home cooked food for office event,EXACT
184013077570,Office Party,ENABLED,bulk lunch order for office,EXACT
184013077570,Office Party,ENABLED,food for employee gathering,EXACT
184013077570,Office Party,ENABLED,food for office celebration,EXACT
184013077570,Office Party,ENABLED,south indian meal for team lunch,EXACT
184013077570,Office Party,ENABLED,healthy home food for office,EXACT
184013077570,Office Party,ENABLED,authentic homemade food for corporate parties,EXACT
184013077570,Office Party,ENABLED,office party buffet food,EXACT
184013077570,Office Party,ENABLED,bulk order south indian food for office,EXACT
184013077570,Office Party,ENABLED,bulk thali delivery for office,EXACT
184013077570,Office Party,ENABLED,affordable south indian catering for office,EXACT
184013077570,Office Party,ENABLED,home cooked food delivery for employees,EXACT
184013077570,Office Party,ENABLED,office lunch bulk order,EXACT
184013077570,Office Party,ENABLED,homemade dinner for office party,EXACT
184013077570,Office Party,ENABLED,food for client meeting or office event,EXACT
186029681182,Naming Ceremony,ENABLED,party catering,PHRASE
186029681182,Naming Ceremony,ENABLED,catering for parties,PHRASE
186029681182,Naming Ceremony,ENABLED,dinner party catering,PHRASE
186029681182,Naming Ceremony,ENABLED,party food catering,PHRASE
186029681182,Naming Ceremony,ENABLED,catering for home parties,PHRASE
186029681182,Naming Ceremony,ENABLED,order party food,PHRASE
186029681182,Naming Ceremony,ENABLED,order party platters,PHRASE
186029681182,Naming Ceremony,ENABLED,food to cater for parties,PHRASE
186029681182,Naming Ceremony,ENABLED,party food catering near me,PHRASE
186029681182,Naming Ceremony,ENABLED,birthday catering near me,PHRASE
186029681182,Naming Ceremony,ENABLED,birthday party catering near me,PHRASE
186029681182,Naming Ceremony,ENABLED,catering for small party,PHRASE
186029681182,Naming Ceremony,ENABLED,party catering near me,PHRASE
186029681182,Naming Ceremony,ENABLED,valaikappu catering in chennai,PHRASE
186029681182,Naming Ceremony,ENABLED,party food near me,PHRASE
186029681182,Naming Ceremony,ENABLED,naming ceremony catering,EXACT
186029681182,Naming Ceremony,ENABLED,seemantham catering chennai,PHRASE
186029681182,Naming Ceremony,ENABLED,small event catering near me,PHRASE
186029681182,Naming Ceremony,ENABLED,seemantham catering in chennai,PHRASE
186029681182,Naming Ceremony,ENABLED,namakaranam food delivery,EXACT
186029681182,Naming Ceremony,ENABLED,home cooked food for baby naming,EXACT
186029681182,Naming Ceremony,ENABLED,home food for baby function,EXACT
186029681182,Naming Ceremony,ENABLED,south indian food for naming function,EXACT
186029681182,Naming Ceremony,ENABLED,homemade food for pooja function,EXACT
186029681182,Naming Ceremony,ENABLED,thottil pooja food order,EXACT
186029681182,Naming Ceremony,ENABLED,traditional food for baby ceremony,EXACT
186029681182,Naming Ceremony,ENABLED,naming ceremony catering chennai,PHRASE
186029681182,Naming Ceremony,ENABLED,food for naming ceremony,EXACT
186029681182,Naming Ceremony,ENABLED,valaikappu food order chennai,PHRASE
186029681182,Naming Ceremony,ENABLED,ear piercing ceremony food,PHRASE
186029681182,Naming Ceremony,ENABLED,catering for thottil pooja near me,EXACT
186029681182,Naming Ceremony,ENABLED,thread ceremony food order,PHRASE
186029681182,Naming Ceremony,ENABLED,namakaranam catering,EXACT
186029681182,Naming Ceremony,ENABLED,namakarana catering,EXACT
186029681182,Naming Ceremony,ENABLED,naming day catering,EXACT
186029681182,Naming Ceremony,ENABLED,puberty function catering chennai,PHRASE
186590189457,Birthday Event,ENABLED,birthday catering,BROAD
186590189457,Birthday Event,ENABLED,birthday party catering,EXACT
186590189457,Birthday Event,ENABLED,food for birthday party,PHRASE
186590189457,Birthday Event,ENABLED,food for birthday party,EXACT
186590189457,Birthday Event,ENABLED,birthday party food catering,EXACT
186590189457,Birthday Event,ENABLED,kids birthday catering,EXACT
186590189457,Birthday Event,ENABLED,birthday party food catering services,BROAD
186590189457,Birthday Event,ENABLED,kids birthday party catering,PHRASE
186590189457,Birthday Event,ENABLED,birthday party food delivery,EXACT
186590189457,Birthday Event,ENABLED,1st birthday catering,PHRASE
186590189457,Birthday Event,ENABLED,best food for birthday party,BROAD
186590189457,Birthday Event,ENABLED,marriage function catering,BROAD
186590189457,Birthday Event,ENABLED,birthday catering service,EXACT
